Date,LF98TRUU,LUACTRUU,BCOMTR,Russell2000,Russell1000,SPXT
12/31/2018,1909.36,2829.02,159.7202,1859.6976,2167.6118,7658.0136
11/30/2018,1951.14,2788.02,171.5349,2110.5183,2384.9175,8418.468
10/31/2018,1968.07,2792.67,172.5063,2077.6916,2337.3667,8250.3635
9/28/2018,2000.04,2834.06,176.3125,2330.861,2515.3622,8855.6686
8/31/2018,1988.96,2844.2,172.9951,2388.3094,2505.8466,8805.5494
7/31/2018,1974.4,2830.22,176.1132,2289.6877,2422.3785,8527.6904
6/29/2018,1953.09,2806.89,179.9539,2250.5376,2341.5677,8221.7155
5/31/2018,1945.28,2823.29,186.4731,2234.559,2326.527,8171.4171
4/30/2018,1945.82,2808.24,183.8683,2106.6839,2268.627,7979.297
3/30/2018,1933.24,2834.54,179.236,2088.6242,2260.942,7948.8071
2/28/2018,1944.99,2827.38,180.3569,2061.9715,2313.4523,8156.0657
1/31/2018,1961.66,2874.04,183.531,2144.7678,2401.6433,8468.2016
12/29/2017,1949.97,2901.78,179.9572,2090.1922,2276.6708,8009.7843
11/30/2017,1944.09,2875.55,174.7404,2098.7603,2251.7325,7922.2658
10/31/2017,1949.07,2879.74,175.5502,2040.0229,2185.1093,7686.5102
9/29/2017,1940.87,2868.16,171.8648,2022.7993,2136.1144,7511.2447
8/31/2017,1923.6,2873.15,172.1214,1903.9935,2091.5751,7359.4316
7/31/2017,1924.35,2851.01,171.4304,1928.53,2085.053,7336.9722
6/30/2017,1903.27,2830.31,167.6399,1914.3243,2044.5632,7189.1474
5/31/2017,1900.7,2821.68,167.9627,1850.3929,2030.3873,7144.5591
4/28/2017,1884.32,2789.61,170.2237,1888.8188,2004.8033,7045.4159
3/31/2017,1862.81,2760.12,172.8258,1868.3306,1983.8292,6973.7878
2/28/2017,1866.97,2766.55,177.5513,1865.8891,1982.5822,6965.6625
1/31/2017,1840.19,2735.18,177.1814,1830.6329,1908.72,6699.6509
12/30/2016,1813.85,2726.78,176.9417,1823.4614,1871.0944,6574.9483
11/30/2016,1780.98,2708.65,173.8088,1773.7857,1836.6997,6447.93
10/31/2016,1789.47,2783.32,171.5215,1596.0281,1767.0442,6217.6513
9/30/2016,1782.59,2806.15,172.3635,1675.6904,1802.1876,6333.1796
